date,Brazil,Canada,China,France,Germany,India,Israel,Japan,Saudi Arabia,United Kingdom,United States
1970,3558.85233348657,21428.9091562301,283.585356324154,17605.6389691523,17894.2966855025,361.486121811723,14433.4011557957,14114.3158179076,20602.5962188934,19284.4869197438,25231.1271579892
1971,3866.38544006014,21642.5407785898,295.380170974801,18377.8689100373,18421.0421814761,359.368876289002,15518.3040529264,14456.8211953459,23701.1982994734,19877.1598176267,25734.4828350051
1972,4224.19616113049,22573.5662845611,299.190888197692,19041.7897266489,19121.4978922895,349.508081705537,16966.5037948267,15455.1369428391,27716.5345630474,20665.9960556535,26798.5336071197
1973,4699.43968925884,23799.6955335027,315.129663482987,20091.194013856,19972.0254072346,352.989655973356,17204.0418741309,16463.2791725065,32646.1569521396,21971.7243074805,28042.5519161527
1974,4962.92236615534,24257.8167998797,315.816664008911,20813.444898838,20141.9394753194,349.198445098296,17781.1876740117,16046.7846823822,35942.4476366843,21412.3512148024,27637.2997746126
1975,5097.70833229032,24275.8127521832,337.34411901999,20498.348081584,20041.9479922639,372.712702900384,17943.3542115412,16333.6748183256,31017.212306285,21098.3743618178,27309.8688169354
1976,5489.98006420902,25369.4634276064,326.949460515766,21291.988987842,21124.2556950912,370.63273450982,17603.7991168784,16801.9250306258,34691.0377547116,21717.7359378902,28509.1430550141
1977,5626.71699634148,25960.6392190527,346.939156011528,21925.8324016685,21880.8076281356,388.838569239447,17392.2277044914,17370.6165468412,35303.1095033077,22258.8198333192,29528.9663683544
1978,5768.42621601034,26663.7707119666,381.099329479619,22687.6115069004,22558.714790358,402.054712164535,17975.2929342695,18120.7284269821,31806.2182399553,23193.3954328959,30834.9992317542
1979,6014.86735299888,27384.677926987,404.596632533815,23378.2949932212,23484.5991918307,372.616302160219,18607.0794200973,18953.3339137399,33864.0044524373,24041.338024567,31462.1003887938
1980,6415.63781307471,27622.3733827823,430.855409784174,23618.3996174718,23766.107651563,388.822779071061,18469.0997104097,19334.3747442401,34055.6622691119,23524.8369726649,31081.6216349433
1981,6001.64498975535,28215.5308546984,447.11978643739,23733.5935655434,23855.5258569738,402.901518165328,19071.7375121441,20011.8292508853,33070.5874427756,23331.3956961222,31559.1293394228
1982,5914.56507751669,26999.0790715116,480.311322412799,24187.0947668643,23783.9454870064,407.58561968405,19106.6717563149,20525.2958514713,24991.2023804889,23805.3626651459,30696.0834354928
1983,5613.61151866736,27418.4916003319,524.409363188157,24356.6592918128,24221.3403747435,427.527695757665,19392.4823623624,21122.9648423051,20006.5697596456,24801.9316298985,31810.921609807
1984,5788.08717052091,28762.9721968164,596.201109056267,24600.9923558634,24991.3336835112,433.9316670964,19319.3160332709,21912.1518618524,18199.5663703386,25324.6026235794,33818.8235513622
1985,6110.35840131311,29851.643282805,667.128541913215,24870.5058201409,25630.3329976336,446.577332348924,19747.8568557662,22898.9942415023,15678.4716607132,26315.1286500244,34918.1302012407
1986,6433.49798224459,30183.4087849598,716.105339985739,25319.3150945387,26204.5895785314,457.565391224756,20259.4398885366,23527.7125188459,17538.8286400639,27081.3489722657,35794.8877746915
1987,6528.62346899947,31001.1298424264,786.864881580592,25830.2389767847,26531.229705288,465.307224187371,21358.133970308,24503.0845657802,15670.7306813973,28481.1492719879,36701.9453875331
1988,6399.48436752405,31951.5504814006,861.193486641788,26912.1812064054,27407.5200661963,499.084648107938,21618.4445594676,26026.8648821107,16973.4460804592,30047.0088495828,37889.3773471466
1989,6479.069095695,32116.9233356971,883.76415515026,27938.4697567247,28256.1062209731,517.420332130746,21376.9489346037,27199.939969537,16184.6166792624,30741.373836081,38911.5418950729
1990,6086.07755287989,31700.5462697892,905.032457182256,28617.4435701151,29485.7099744881,534.484099592548,22241.6634605927,28422.2131195125,17884.6649290355,30874.5089314482,39200.0658112434
1991,6043.43263411812,30654.3331377446,975.462915554045,28664.1318783352,30766.9289577727,528.898177045307,22560.9158983084,29308.274088137,19766.6003700225,30439.6458572767,38637.8398140572
1992,5911.68702310619,30563.3788184233,1100.64611588261,28977.8889025405,31121.0705650076,546.441020503838,23485.7508717011,29462.6539670948,19808.9350762612,30479.1970018521,39447.9472855283
1993,6103.37721528216,31032.7546013139,1239.1293732409,28670.8863286782,30615.1402117435,560.798571766267,23811.1918235925,29232.4397928178,18920.10001385,31163.2753403968,40002.4762252856
1994,6358.67878741759,32074.1562430473,1384.93015732283,29237.535511328,31238.8790596628,586.175457565091,24926.0219214881,29466.7552451756,18486.0741332054,32279.5337364039,41106.988184368
1995,6524.51885337322,32595.4515181692,1520.02946941719,29745.1287289494,31628.1598130943,618.139287917831,25872.2304216269,30171.1637924347,18013.9809781929,33009.3041509745,41710.8207249566
1996,6567.3524607614,32801.3018549155,1653.43378890759,30057.9655533345,31790.8668596056,651.958356583772,26698.2315740449,31046.1701544648,17992.407248227,33775.5009001382,42783.8165697826
1997,6689.19937656168,33867.0079131743,1787.76697702905,30650.7444765253,32313.2970704344,665.466107553727,27026.4814260925,31276.1930771932,17709.1857536753,35347.7635433746,44151.6860414367
1998,6613.98318082927,34894.6134280252,1909.62232844399,31633.1477495769,32959.0735691418,693.408504758764,27502.5738477223,30795.0888900928,17746.1076335333,36448.2642198935,45596.4306843475
1999,6551.22667109972,36391.5353258957,2038.2064740575,32546.9340522187,33559.3993737499,740.916233287317,27704.0215974216,30636.266116943,16641.6964614609,37440.7940592239,47234.2455275229
2000,6745.85777056386,37906.8601153293,2193.89686642215,33592.4668300573,34490.0757688619,755.482294032829,29321.3254007484,31430.6311303282,17139.192992248,38918.4550574708,48616.25462578
2001,6749.88160346537,38200.4561131358,2359.57238513523,34009.8623977368,35011.068457503,777.733660305847,28733.9412605501,31476.052066579,16518.8189382549,39768.6663463971,48597.4246142005
2002,6868.69590695211,38921.6672955178,2557.89161202627,34146.3062683243,34883.0580735445,793.100961792279,28128.8460691258,31416.1241772435,15671.733789485,40310.3049399328,48967.3661201159
2003,6865.17325047655,39270.0234544073,2797.17665912283,34183.6633444538,34619.6640670185,840.81804425498,28010.6074556958,31830.2175849262,17036.382305887,41385.5404684913,49905.5233074237
2004,7178.34748516711,40108.758738975,3061.83317262874,34893.5298119974,35034.0806086181,892.3821034885,28836.5131848105,32515.1158024317,17995.0493640486,42149.2703352153,51348.3473376223
2005,7325.90355034829,41006.222931999,3390.71615945044,35208.855797143,35310.4704669272,947.763435280111,29503.9014620245,33098.5474664872,18425.0795184924,43007.3629245892,52649.5713054684
